Page,ResponseTime,Time,Error,Status,Error Screenshot File Location,Bandwidth
Bajaj Allianz RBL Api Response,12.13,10:50: 45 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.25,14:59: 50 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,5.17,16:4: 37 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.49,16:19: 43 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.47,16:34: 19 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.04,16:49: 20 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,1.80,17:4: 19 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.79,17:19: 28 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.87,17:34: 29 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.93,17:49: 34 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.60,18:4: 27 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.10,18:19: 29 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.32,18:34: 22 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.18,18:49: 24 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.73,19:4: 37 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.68,19:19: 40 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.83,19:34: 44 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,5.37,19:49: 42 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,7.09,20:4: 52 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,6.41,20:19: 51 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.64,20:34: 41 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,5.40,20:49: 38 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.22,21:4: 32 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.52,21:19: 29 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.99,21:34: 31 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.47,21:49: 34 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.94,22:4: 32 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.75,22:19: 32 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.86,22:34: 31 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,5.61,22:49: 35 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,5.46,23:4: 34 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.99,23:19: 37 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.99,23:34: 35 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,7.53,23:49: 40 ,null,PASS,=HYPERLINK("null"),,
