Page,ResponseTime,Time,Error,Status,Error Screenshot File Location,Bandwidth
Bajaj Allianz RBL Api Response,11.14,0:04:25,null,PASS,null,
Bajaj Allianz RBL Api Response,2.64,0:19:16,null,PASS,null,
Bajaj Allianz RBL Api Response,3.95,0:34:19,null,PASS,null,
Bajaj Allianz RBL Api Response,4.21,0:49:17,null,PASS,null,
Bajaj Allianz RBL Api Response,2.91,1:04:17,null,PASS,null,
Bajaj Allianz RBL Api Response,3.31,1:19:15,null,PASS,null,
Bajaj Allianz RBL Api Response,3.66,1:34:17,null,PASS,null,
Bajaj Allianz RBL Api Response,1.91,1:49:14,null,PASS,null,
Bajaj Allianz RBL Api Response,7.61,2:04:18,null,PASS,null,
Bajaj Allianz RBL Api Response,5.12,2:19:18,null,PASS,null,
Bajaj Allianz RBL Api Response,4,2:34:20,null,PASS,null,
Bajaj Allianz RBL Api Response,3.42,2:49:19,null,PASS,null,
Bajaj Allianz RBL Api Response,2.9,3:04:19,null,PASS,null,
Bajaj Allianz RBL Api Response,3.82,3:19:16,null,PASS,null,
Bajaj Allianz RBL Api Response,3.11,3:34:16,null,PASS,null,
Bajaj Allianz RBL Api Response,2.82,3:49:14,null,PASS,null,
Bajaj Allianz RBL Api Response,5.43,4:04:16,null,PASS,null,
Bajaj Allianz RBL Api Response,4.21,4:19:16,null,PASS,null,
Bajaj Allianz RBL Api Response,4.19,4:34:22,null,PASS,null,
Bajaj Allianz RBL Api Response,4.1,4:49:17,null,PASS,null,
Bajaj Allianz RBL Api Response,3.55,5:04:19,null,PASS,null,
Bajaj Allianz RBL Api Response,3,5:19:18,null,PASS,null,
Bajaj Allianz RBL Api Response,2.81,5:34:16,null,PASS,null,
Bajaj Allianz RBL Api Response,2.87,5:49:17,null,PASS,null,
Bajaj Allianz RBL Api Response,4.1,6:04:14,null,PASS,null,
Bajaj Allianz RBL Api Response,4.07,6:19:15,null,PASS,null,
Bajaj Allianz RBL Api Response,3.88,6:34:18,null,PASS,null,
Bajaj Allianz RBL Api Response,4.23,6:49:18,null,PASS,null,
Bajaj Allianz RBL Api Response,3.02,7:04:16,null,PASS,null,
Bajaj Allianz RBL Api Response,4.1,7:19:18,null,PASS,null,
Bajaj Allianz RBL Api Response,3.16,7:34:14,null,PASS,null,
Bajaj Allianz RBL Api Response,4.31,7:49:23,null,PASS,null,
Bajaj Allianz RBL Api Response,3.96,8:04:19,null,PASS,null,
Bajaj Allianz RBL Api Response,6.03,8:19:22,null,PASS,null,
Bajaj Allianz RBL Api Response,10.66,8:34:24,null,PASS,null,
Bajaj Allianz RBL Api Response,12.24,8:49:27,null,PASS,null,
Bajaj Allianz RBL Api Response,3.82,9:04:19,null,PASS,null,
Bajaj Allianz RBL Api Response,3.22,9:19:15,null,PASS,null,
Bajaj Allianz RBL Api Response,5.51,9:34:17,null,PASS,null,
Bajaj Allianz RBL Api Response,2.91,9:49:16,null,PASS,null,
Bajaj Allianz RBL Api Response,6.23,10:04:17,null,PASS,null,
Bajaj Allianz RBL Api Response,2.82,10:19:14,null,PASS,null,
Bajaj Allianz RBL Api Response,13.24,10:34:25,null,PASS,null,
Bajaj Allianz RBL Api Response,2.55,10:49:15,null,PASS,null,
Bajaj Allianz RBL Api Response,2.04,11:04:21,null,PASS,null,
Bajaj Allianz RBL Api Response,3.7,11:19:15,null,PASS,null,
Bajaj Allianz RBL Api Response,3,11:34:14,null,PASS,null,
Bajaj Allianz RBL Api Response,2.9,11:49:15,null,PASS,null,
Bajaj Allianz RBL Api Response,3.47,12:04:19,null,PASS,null,
Bajaj Allianz RBL Api Response,3.52,12:19:18,null,PASS,null,
Bajaj Allianz RBL Api Response,7.95,12:34:16,null,PASS,null,
Bajaj Allianz RBL Api Response,5.62,12:49:21,null,PASS,null,
Bajaj Allianz RBL Api Response,4.66,13:04:17,null,PASS,null,
Bajaj Allianz RBL Api Response,2.84,13:19:16,null,PASS,null,
Bajaj Allianz RBL Api Response,5.29,13:34:17,null,PASS,null,
Bajaj Allianz RBL Api Response,3.53,13:49:09,null,PASS,null,
Bajaj Allianz RBL Api Response,4.25,14:04:11,null,PASS,null,
Bajaj Allianz RBL Api Response,4.09,14:19:16,null,PASS,null,
Bajaj Allianz RBL Api Response,4.15,14:34: 14 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.27,14:49: 13 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.29,15:4: 16 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,4.09,15:19: 13 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,8.70,15:34: 24 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,2.55,15:49: 18 ,null,PASS,=HYPERLINK("null"),,
Bajaj Allianz RBL Api Response,3.75,16:4: 12 ,null,PASS,=HYPERLINK("null"),,
